"ClaimNumber","lat","long","LossCity","lossPostal","County"
"0573b0e86faa5b2435914a71383419fd",43.611223,-84.776711,"Mount Pleasant","48804","ISABELLA"
"057859a732a7fa3e8143e74cb7737ad2",42.732882,-83.036315,"Washington","48094","MACOMB"
"057e458afdab0970cc2584cfafa09ab4",42.648506,-83.412243,"Waterford Township","48327","OAKLAND"
"058e8c4c26f82b635effd8ea1f0a3fe5",42.231396,-83.6302,"Ypsilanti","48197","WASHTENAW"
"0591aa517d1ed5d718e5a246173d8e97",41.999871,-87.671283,"Chicago","60626-4097","COOK"
"0596a6a62ce4bfc923f1d5e2242655ee",42.91766,-83.986509,"Durand","48429","SHIAWASSEE"
"059c77c105f7f949d072f321a8defba4",42.269391,-84.953073,"Marshall","49068","CALHOUN"
"05a4accde2f7efefeb8c30c9c543ac86",43.028449,-83.60488,"Burton","48509","GENESEE"
"05b26499cc10d6da4cbd96e0362cb79a",42.980047,-85.698475,"Grand Rapids","49504","KENT"
"05b26bcb520ea941da0e85834e55985e",41.898068,-84.039138,"Adrian","49221","LENAWEE"
"05bce7282d044ea50119c171ce8595a0",42.464701,-85.616339,"Plainwell","49080","ALLEGAN"
"05bdd4162eb3b45273c2ca67a9d9daf7",43.016902,-85.724387,"Walker","49544","KENT"
"05c3203c2175adb2097e71a426a014b7",42.157042,-85.818036,"Lawton","49065","VAN BUREN"
"05c817a9685bf955e1e0e50595d3dcbb",42.42566,-83.253275,"Detroit","48219","WAYNE"
"05f104159c7b58c59e84642a2bb6e572",42.954016,-83.814249,"Swartz Creek","48473","GENESEE"
"05f3a0a59a24f38e1445e0415d5376b4",41.906478,-83.41815,"Monroe","48161","MONROE"
"05f7167f91f13f0115de1028d1c4f8d8",42.266835,-85.564718,"Kalamazoo","49001","KALAMAZOO"
"05fc9653b1ca5292908634ac42f31100",42.349831,-83.059548,"Detroit","48201","WAYNE"
"05fe413fb9fc882ca1a75ab778658997",43.047676,-85.676069,"Comstock Park","49321","KENT"
"0607a26f2369d126751d0f729ac4db32",43.407795,-83.912611,"Saginaw","48601","SAGINAW"
"060e211ecccf16f791eea4e97babd325",43.088793,-85.252258,"Belding","48809","IONIA"
